Supplementary Table,Archive ID,Internal key,Title,Rows,First cited (draft Results),Status
37,new (this audit),NEW-substitution,Requested-versus-resolved parameter differences in tool-run calls,197,Section 2: silent parameter substitution (Fig. 3e; Extended Data Fig. 3c),cited
38,X7,X7,Galaxy improvements suggested by the observed evidence,8,Section 2: engineering targets (Extended Data Fig. 3d),cited
39,X9,X9,Common software families: installed Galaxy wrappers versus code-command indicators,16,Section 3: software families (Fig. 4a),cited
40,I12,I12,Declared solution routes versus agreement,8,Section 3: IWC declared routes,cited
41,B5,B5,Observable triplicate path agreement under the harmonized rule,12,Section 3: BixBench path agreement (Fig. 4b),cited
42,C5,C5,Observable triplicate path agreement,10,Section 3: CompBioBench path agreement (Fig. 4b),cited
43,I8,I8,Observable triplicate path agreement under the harmonized rule,10,Section 3: IWC path agreement (Fig. 4b),cited
44,new (this audit),NEW-mixed,"Non-unanimous triplicates by benchmark, environment and configuration",35,"Section 3: mixed cells, i.e. non-unanimous triplicates (Fig. 4c; Extended Data Fig. 4a)",cited
45,X11,X11,Task specification size and recorded workload versus operational failure markers,9,Section 3: prompt size and workload (Extended Data Fig. 4b),cited
46,X16,X16,"Different recorded paths, identical submitted answers: does the observation hold?",4,"Section 3: different paths, identical answers",cited
47,B6,B6,Does a consistent recorded path imply acceptance?,6,Section 3: consistent path vs acceptance,cited
48,new (this audit),NEW-divergence,What separated each rejected replicate from its accepted siblings in non-unanimous BixBench-Verified-50 triplicates,88,Section 3: divergence mechanisms (Fig. 4d),cited
49,B7,B7,Input-token burden by configuration,6,Section 4: BixBench token ratio (Fig. 5a),cited
50,C6,C6,Input-token burden by configuration,5,Section 4: CompBioBench token ratio,cited
51,I9,I9,Input-token burden by configuration,5,Section 4: IWC token ratio,cited
52,X2,X2,Does relative input-token overhead generalize across benchmarks?,4,Section 4: shared-configuration overhead (Extended Data Fig. 5a),cited
53,new (this audit),NEW-discovery,Control-plane burden and use of BioBlend or raw REST outside the MCP interface,14,Section 4: discovery burden and bypass (Fig. 5b; Extended Data Fig. 5b),cited
54,B15,B15,Model trade-off: acceptance difference and token use relative to GPT-5.5,8,Section 4: token use vs acceptance (Fig. 5c),cited
55,I13,I13,"All-task agreement, replicate dispersion, operational markers and tokens",8,Section 4: IWC configuration outcomes,cited
56,B2,B2,Repeatability of accepted answers,10,"Suggest Section 3 (repeatability), beside B5",not cited in current draft
57,B3,B3,Largest acceptance discordances and tasks rejected throughout,5,"Suggest Section 1 (four near-universal failures; bix-45-q1, bix-30-q3)",not cited in current draft
58,B14,B14,"Configuration outcomes, repeatability, operational markers and tokens",10,Suggest Section 4 (Luna trajectory length),not cited in current draft
59,B16,B16,Configuration-specific exclusive task successes hidden by pooling models,13,Suggest Section 1 (coverage sentence),not cited in current draft
60,C2,C2,Usage completeness and repeated-answer consistency,8,Suggest Section 1 or 4 (usage completeness),not cited in current draft
61,C9,C9,"Configuration outcomes, repeatability, operational markers and tokens",8,Suggest Section 3 or 4 (CompBioBench configuration outcomes),not cited in current draft
62,C10,C10,Outlier case: what can actually be said about biomedical knowledge?,8,Suggest Methods/limitations (biomedical-knowledge outlier),not cited in current draft
63,X4,X4,Run-level operational burden with the shared configuration mix,3,Suggest Section 4 (run-level burden),not cited in current draft
64,X6,X6,Where recorded error jobs concentrate,15,Suggest Section 2 (where error jobs concentrate),not cited in current draft
65,X8,X8,"Claim strength, remaining questions and evidence needed",8,Suggest Discussion (claim strength),not cited in current draft
66,X17,X17,Testing the six motivating observations,6,Suggest Discussion (six motivating observations),not cited in current draft
67,X20,X20,Distinct benchmark endpoints in the shared-label descriptive set,3,"Suggest design paragraph, beside X1",not cited in current draft
